Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
217,1.898e-61,0.139828,4096,1.97949,6.01172,1.97949,0,0.046875,0.046875
218,1.89615e-61,0.139841,4096,1.97852,6.02441,1.97852,0,0.0351562,0.0351562
219,1.89986e-61,0.139816,4096,1.97656,6.01855,1.97656,0,0.0517578,0.0517578
220,1.898e-61,0.139828,4096,1.98438,5.99609,1.9834,0.000976562,0.046875,0.046875
221,1.89986e-61,0.139816,4096,1.9873,5.96484,1.9873,0,0.0410156,0.0410156
222,1.89986e-61,0.139816,4096,1.99121,5.97168,1.99121,0,0.0400391,0.0400391
223,2.14491e-61,0.139811,4096,1.98828,5.94629,1.98828,0,0.0322266,0.0322266
224,4.10348e-61,0.139779,4096,1.9873,5.9541,1.9873,0,0.0273438,0.0273438
225,8.02435e-61,0.139701,4096,1.98828,5.95996,1.98828,0,0.0371094,0.0371094
226,1.36624e-60,0.139587,4096,1.98926,5.95605,1.98926,0,0.0439453,0.0439453
227,2.15023e-60,0.139446,4096,1.99609,5.89941,1.99609,0,0.0283203,0.0283203
228,3.13062e-60,0.139243,4096,1.99805,5.8916,1.99805,0,0.046875,0.046875
229,4.23336e-60,0.139028,4096,2,5.8623,2,0,0.0332031,0.0332031
230,5.62998e-60,0.138762,4096,1.99902,5.82227,1.99902,0,0.0527344,0.0527344
231,7.15109e-60,0.138457,4096,1.99805,5.76465,1.99805,0,0.0341797,0.0341797
232,8.91388e-60,0.138116,4096,1.99805,5.67969,1.99805,0,0.0546875,0.0546875
233,1.08741e-59,0.137746,4096,2,5.62207,1.99902,0.000976562,0.0439453,0.0439453
234,1.30308e-59,0.137313,4096,2,5.49805,2,0,0.0371094,0.0371094
235,1.53343e-59,0.136864,4096,2,5.39941,2,0,0.0332031,0.0332031
236,1.79318e-59,0.136358,4096,1.99902,5.29102,1.99902,0,0.0429688,0.0429688
237,2.06517e-59,0.13584,4096,1.99805,5.18945,1.99805,0,0.0507812,0.0507812
238,2.35926e-59,0.135255,4096,1.99805,5.06543,1.99805,0,0.0498047,0.0498047
239,2.52344e-59,0.134935,4096,1.99805,5.01953,1.99805,0,0.0429688,0.0429688
240,2.52834e-59,0.134925,4096,1.99805,5.01758,1.99707,0.000976562,0.0371094,0.0371094
241,2.52834e-59,0.134925,4096,1.99707,5.0166,1.99609,0.000976562,0.0654297,0.0654297
242,2.52834e-59,0.134925,4096,1.99707,5.02148,1.99609,0.000976562,0.0361328,0.0361328
243,2.52834e-59,0.134925,4096,1.99805,5.02539,1.99707,0.000976562,0.0322266,0.0322266
244,2.5234e-59,0.134959,4096,1.99805,5.03027,1.99609,0.00195312,0.0419922,0.0419922
245,2.52834e-59,0.134925,4096,1.99902,5.02637,1.99609,0.00292969,0.0390625,0.0390625
246,2.52834e-59,0.134925,4096,2.00195,5.0332,1.99609,0.00585938,0.0449219,0.0449219
247,2.52589e-59,0.13493,4096,2.00098,5.04492,1.99512,0.00585938,0.0283203,0.0283203
248,2.52834e-59,0.134925,4096,2.00391,5.04297,1.99512,0.00878906,0.0351562,0.0351562
249,2.52587e-59,0.134936,4096,2.00293,5.04492,1.99609,0.00683594,0.0380859,0.0380859
250,2.52342e-59,0.134947,4096,2.00098,5.05664,1.99316,0.0078125,0.0507812,0.0507812
251,2.52587e-59,0.134942,4096,2.00195,5.05469,1.99512,0.00683594,0.0488281,0.0488281
252,2.52303e-59,0.134935,4096,1.99707,5.03906,1.99121,0.00683594,0.046875,0.046875
253,2.52507e-59,0.13493,4096,1.99414,5.03809,1.99316,0.00195312,0.0390625,0.0390625
254,2.52466e-59,0.13493,4096,1.99414,5.03125,1.99414,0.00292969,0.0380859,0.0380859
255,2.52425e-59,0.13493,4096,1.99609,5.02832,1.99219,0.00585938,0.0458984,0.0458984
256,2.5267e-59,0.134926,4096,1.99512,5.01465,1.99121,0.00683594,0.0458984,0.0458984
257,2.52423e-59,0.134943,4096,1.99609,5.01074,1.99121,0.0078125,0.0332031,0.0332031
258,2.52629e-59,0.134926,4096,1.99805,5.0166,1.99707,0.00683594,0.0390625,0.0390625
